Serial,Latitude,Longitude,Postcode,Socket Name,Status
487,51.610680,-0.424619,HA6 2XW,Socket 1,0
487,51.610680,-0.424619,HA6 2XW,Socket 2,0
268,52.042645,-0.749901,MK9 3JT,Socket 1,0
268,52.042645,-0.749901,MK9 3JT,Socket 2,0
437,52.073700,-1.023320,NN12 8GX,Socket 1,0
437,52.073700,-1.023320,NN12 8GX,Socket 2,0
288,51.467293,0.080035,DA16 3RP,Socket 1,2
288,51.467293,0.080035,DA16 3RP,Socket 2,2
274,52.042831,-0.760908,MK9 2AD,Socket 1,0
274,52.042831,-0.760908,MK9 2AD,Socket 2,0
267,52.042854,-0.760851,MK9 2AD,Socket 1,0
267,52.042854,-0.760851,MK9 2AD,Socket 2,0
276,52.039642,-0.756875,MK9 3DH,Socket 1,0
276,52.039642,-0.756875,MK9 3DH,Socket 2,0
263,52.042797,-0.759231,MK9 2AD,Socket 1,0
263,52.042797,-0.759231,MK9 2AD,Socket 2,1
359,52.042614,-0.749961,MK9 3JT,Socket 1,0
359,52.042614,-0.749961,MK9 3JT,Socket 2,0
336,52.042648,-0.749860,MK9 3JT,Socket 1,0
336,52.042648,-0.749860,MK9 3JT,Socket 2,0
1297,52.042831,-0.759155,MK9 2AD,Socket 1,0
1297,52.042831,-0.759155,MK9 2AD,Socket 2,0
1432,51.517899,-0.145613,W1G 9HF,Socket 1,0
1432,51.517899,-0.145613,W1G 9HF,Socket 2,0
1410,51.517899,-0.145623,W1G 9HF,Socket 1,0
1410,51.517899,-0.145623,W1G 9HF,Socket 2,0
1407,51.517899,-0.145633,W1G 9HF,Socket 1,0
1407,51.517899,-0.145633,W1G 9HF,Socket 2,0
1395,51.517899,-0.145643,W1G 9HF,Socket 1,0
1395,51.517899,-0.145643,W1G 9HF,Socket 2,0
1375,51.517899,-0.145653,W1G 9HF,Socket 1,0
1375,51.517899,-0.145653,W1G 9HF,Socket 2,0
1360,51.517899,-0.145663,W1G 9HF,Socket 1,0
1360,51.517899,-0.145663,W1G 9HF,Socket 2,0
1355,51.517899,-0.145673,W1G 9HF,Socket 1,0
1355,51.517899,-0.145673,W1G 9HF,Socket 2,0
1294,51.517899,-0.145683,W1G 9HF,Socket 1,0
1294,51.517899,-0.145683,W1G 9HF,Socket 2,0
1285,51.517899,-0.145693,W1G 9HF,Socket 1,0
1285,51.517899,-0.145693,W1G 9HF,Socket 2,1
1283,51.517899,-0.145703,W1G 9HF,Socket 1,0
1283,51.517899,-0.145703,W1G 9HF,Socket 2,0
1273,51.517899,-0.145713,W1G 9HF,Socket 1,0
1273,51.517899,-0.145713,W1G 9HF,Socket 2,0
1186,51.517899,-0.145723,W1G 9HF,Socket 1,0
1186,51.517899,-0.145723,W1G 9HF,Socket 2,0
1364,51.509300,-0.156662,W1K 7TY,Socket 1,1
1364,51.509300,-0.156662,W1K 7TY,Socket 2,0
1286,51.509300,-0.156662,W1K 7TY,Socket 1,0
1286,51.509300,-0.156662,W1K 7TY,Socket 2,0
1276,51.509300,-0.156662,W1K 7TY,Socket 1,0
1276,51.509300,-0.156662,W1K 7TY,Socket 2,0
1389,51.509300,-0.156662,W1K 7TY,Socket 1,0
1389,51.509300,-0.156662,W1K 7TY,Socket 2,0
1400,51.509300,-0.156662,W1K 7TY,Socket 1,0
1400,51.509300,-0.156662,W1K 7TY,Socket 2,0
1290,51.509300,-0.156662,W1K 7TY,Socket 1,0
1290,51.509300,-0.156662,W1K 7TY,Socket 2,0
1397,51.509300,-0.156662,W1K 7TY,Socket 1,0
1397,51.509300,-0.156662,W1K 7TY,Socket 2,1
1409,51.509300,-0.156662,W1K 7TY,Socket 1,0
1409,51.509300,-0.156662,W1K 7TY,Socket 2,0
1363,51.509300,-0.156662,W1K 7TY,Socket 1,0
1363,51.509300,-0.156662,W1K 7TY,Socket 2,0
1671,51.702900,-0.614182,HP5 1LF,Socket 1,2
1671,51.702900,-0.614182,HP5 1LF,Socket 2,2
1368,51.507099,-0.130117,SW1A 2TS,Socket 1,0
1368,51.507099,-0.130117,SW1A 2TS,Socket 2,0
1356,51.507099,-0.130118,SW1A 2TS,Socket 1,0
1356,51.507099,-0.130118,SW1A 2TS,Socket 2,0
1396,51.507099,-0.130060,SW1A 2TS,Socket 1,2
1396,51.507099,-0.130060,SW1A 2TS,Socket 2,0
1373,51.507099,-0.130086,SW1A 2TS,Socket 1,0
1373,51.507099,-0.130086,SW1A 2TS,Socket 2,0
758,51.514145,-0.137053,W1F 7NQ,Socket 1,2
758,51.514145,-0.137053,W1F 7NQ,Socket 2,2
1235,51.514153,-0.137007,W1F 7NQ,Socket 1,0
1235,51.514153,-0.137007,W1F 7NQ,Socket 2,0
1357,51.534199,-0.173000,NW8 6AA,Socket 1,0
1357,51.534199,-0.173000,NW8 6AA,Socket 2,0
784,51.534100,-0.173083,NW8 6AA,Socket 1,0
784,51.534100,-0.173083,NW8 6AA,Socket 2,0
1537,51.500301,-0.156700,SW1X 8EA,Socket 1,0
1537,51.500301,-0.156700,SW1X 8EA,Socket 2,0
1406,51.497700,-0.126441,SW1P 3RX,Socket 1,0
1406,51.497700,-0.126441,SW1P 3RX,Socket 2,1
171,51.497700,-0.126442,SW1P 3RX,Socket 1,0
171,51.497700,-0.126442,SW1P 3RX,Socket 2,0
1336,51.497700,-0.126443,SW1P 3RX,Socket 1,0
1336,51.497700,-0.126443,SW1P 3RX,Socket 2,0
580,51.455723,-0.195525,SW18 4BZ,Socket 1,2
580,51.455723,-0.195525,SW18 4BZ,Socket 2,0
540,51.502029,-0.087261,SE1 3RU,Socket 1,0
540,51.502029,-0.087261,SE1 3RU,Socket 2,0
212,51.501995,-0.087274,SE1 3RU,Socket 1,0
212,51.501995,-0.087274,SE1 3RU,Socket 2,0
477,51.506401,-0.585820,SL1 1QE,Socket 1,0
477,51.506401,-0.585820,SL1 1QE,Socket 2,0
438,51.507801,-0.595300,SL1 1XS,Socket 1,0
438,51.507801,-0.595300,SL1 1XS,Socket 2,1
378,51.748161,-1.235562,OX4 1EE,Socket 1,0
378,51.748161,-1.235562,OX4 1EE,Socket 2,0
330,51.408001,-0.304650,KT1 2BA,Socket 1,0
330,51.408001,-0.304650,KT1 2BA,Socket 2,0
110,51.101849,-2.184950,BA12 6AQ,Socket 1,0
110,51.101849,-2.184950,BA12 6AQ,Socket 2,0
164,51.516201,-0.157996,W1H 7BG,Socket 1,0
164,51.516201,-0.157996,W1H 7BG,Socket 2,1
178,51.511002,-0.146166,W1K 3QQ,Socket 1,1
178,51.511002,-0.146166,W1K 3QQ,Socket 2,1
181,51.516102,-0.157942,W1H 7BG,Socket 1,2
181,51.516102,-0.157942,W1H 7BG,Socket 2,2
183,51.794102,-1.284160,OX2 8JD,Socket 1,0
183,51.794102,-1.284160,OX2 8JD,Socket 2,0
193,51.506821,-0.416031,UB3 3NB,Socket 1,1
193,51.506821,-0.416031,UB3 3NB,Socket 2,2
206,51.462399,-0.302488,TW9 1DN,Socket 1,2
206,51.462399,-0.302488,TW9 1DN,Socket 2,2
284,51.407600,-0.304260,KT1 2BA,Socket 1,1
284,51.407600,-0.304260,KT1 2BA,Socket 2,1
287,51.492199,-0.150014,SW1W 9QL,Socket 1,2
287,51.492199,-0.150014,SW1W 9QL,Socket 2,2
